,id,latitude,longitude
598,18-4,50.09809,19.89871
599,18-5,50.09512,19.89871
600,18-6,50.09215,19.89871
601,18-7,50.08918,19.89871
602,18-8,50.08621,19.89871
603,18-9,50.083239999999996,19.89871
604,18-10,50.08027,19.89871
605,18-11,50.0773,19.89871
606,18-12,50.074329999999996,19.89871
607,18-13,50.07136,19.89871
608,18-14,50.06839,19.89871
609,18-15,50.065419999999996,19.89871
610,18-16,50.06245,19.89871
611,18-17,50.05948,19.89871
612,18-18,50.056509999999996,19.89871
613,18-19,50.05354,19.89871
614,18-20,50.05057,19.89871
615,18-21,50.0476,19.89871
616,18-22,50.04463,19.89871
617,18-23,50.04166,19.89871
618,18-24,50.03869,19.89871
619,18-25,50.03572,19.89871
620,18-26,50.03275,19.89871
621,18-27,50.02978,19.89871
622,18-28,50.02681,19.89871
623,18-29,50.02384,19.89871
624,18-30,50.02087,19.89871
625,18-31,50.0179,19.89871
626,18-32,50.01493,19.89871
627,18-33,50.01196,19.89871
628,18-34,50.00899,19.89871
629,18-35,50.00602,19.89871
630,19-1,50.107,19.90334
631,19-2,50.10403,19.90334
632,19-3,50.10106,19.90334
633,19-4,50.09809,19.90334
634,19-5,50.09512,19.90334
635,19-6,50.09215,19.90334
636,19-7,50.08918,19.90334
637,19-8,50.08621,19.90334
638,19-9,50.083239999999996,19.90334
639,19-10,50.08027,19.90334
640,19-11,50.0773,19.90334
641,19-12,50.074329999999996,19.90334
642,19-13,50.07136,19.90334
643,19-14,50.06839,19.90334
644,19-15,50.065419999999996,19.90334
645,19-16,50.06245,19.90334
646,19-17,50.05948,19.90334
647,19-18,50.056509999999996,19.90334
648,19-19,50.05354,19.90334
649,19-20,50.05057,19.90334
650,19-21,50.0476,19.90334
651,19-22,50.04463,19.90334
652,19-23,50.04166,19.90334
653,19-24,50.03869,19.90334
654,19-25,50.03572,19.90334
655,19-26,50.03275,19.90334
656,19-27,50.02978,19.90334
657,19-28,50.02681,19.90334
658,19-29,50.02384,19.90334
659,19-30,50.02087,19.90334
660,19-31,50.0179,19.90334
661,19-32,50.01493,19.90334
662,19-33,50.01196,19.90334
663,19-34,50.00899,19.90334
664,19-35,50.00602,19.90334
665,20-1,50.107,19.90797
666,20-2,50.10403,19.90797
667,20-3,50.10106,19.90797
668,20-4,50.09809,19.90797
669,20-5,50.09512,19.90797
670,20-6,50.09215,19.90797
671,20-7,50.08918,19.90797
672,20-8,50.08621,19.90797
673,20-9,50.083239999999996,19.90797
674,20-10,50.08027,19.90797
675,20-11,50.0773,19.90797
676,20-12,50.074329999999996,19.90797
677,20-13,50.07136,19.90797
678,20-14,50.06839,19.90797
679,20-15,50.065419999999996,19.90797
680,20-16,50.06245,19.90797
681,20-17,50.05948,19.90797
682,20-18,50.056509999999996,19.90797
683,20-19,50.05354,19.90797
684,20-20,50.05057,19.90797
685,20-21,50.0476,19.90797
686,20-22,50.04463,19.90797
687,20-23,50.04166,19.90797
688,20-24,50.03869,19.90797
689,20-25,50.03572,19.90797
690,20-26,50.03275,19.90797
691,20-27,50.02978,19.90797
692,20-28,50.02681,19.90797
693,20-29,50.02384,19.90797
694,20-30,50.02087,19.90797
695,20-31,50.0179,19.90797
696,20-32,50.01493,19.90797
697,20-33,50.01196,19.90797
698,20-34,50.00899,19.90797
699,20-35,50.00602,19.90797
700,21-1,50.107,19.9126
701,21-2,50.10403,19.9126
702,21-3,50.10106,19.9126
703,21-4,50.09809,19.9126
704,21-5,50.09512,19.9126
705,21-6,50.09215,19.9126
706,21-7,50.08918,19.9126
707,21-8,50.08621,19.9126
708,21-9,50.083239999999996,19.9126
709,21-10,50.08027,19.9126
710,21-11,50.0773,19.9126
711,21-12,50.074329999999996,19.9126
712,21-13,50.07136,19.9126
713,21-14,50.06839,19.9126
714,21-15,50.065419999999996,19.9126
715,21-16,50.06245,19.9126
716,21-17,50.05948,19.9126
717,21-18,50.056509999999996,19.9126
718,21-19,50.05354,19.9126
719,21-20,50.05057,19.9126
720,21-21,50.0476,19.9126
721,21-22,50.04463,19.9126
722,21-23,50.04166,19.9126
723,21-24,50.03869,19.9126
724,21-25,50.03572,19.9126
725,21-26,50.03275,19.9126
726,21-27,50.02978,19.9126
727,21-28,50.02681,19.9126
728,21-29,50.02384,19.9126
729,21-30,50.02087,19.9126
730,21-31,50.0179,19.9126
731,21-32,50.01493,19.9126
732,21-33,50.01196,19.9126
733,21-34,50.00899,19.9126
734,21-35,50.00602,19.9126
735,22-1,50.107,19.91723
736,22-2,50.10403,19.91723
737,22-3,50.10106,19.91723
738,22-4,50.09809,19.91723
739,22-5,50.09512,19.91723
740,22-6,50.09215,19.91723
741,22-7,50.08918,19.91723
742,22-8,50.08621,19.91723
743,22-9,50.083239999999996,19.91723
744,22-10,50.08027,19.91723
745,22-11,50.0773,19.91723
746,22-12,50.074329999999996,19.91723
747,22-13,50.07136,19.91723
748,22-14,50.06839,19.91723
749,22-15,50.065419999999996,19.91723
750,22-16,50.06245,19.91723
751,22-17,50.05948,19.91723
752,22-18,50.056509999999996,19.91723
753,22-19,50.05354,19.91723
754,22-20,50.05057,19.91723
755,22-21,50.0476,19.91723
756,22-22,50.04463,19.91723
757,22-23,50.04166,19.91723
758,22-24,50.03869,19.91723
759,22-25,50.03572,19.91723
760,22-26,50.03275,19.91723
761,22-27,50.02978,19.91723
762,22-28,50.02681,19.91723
763,22-29,50.02384,19.91723
764,22-30,50.02087,19.91723
765,22-31,50.0179,19.91723
766,22-32,50.01493,19.91723
767,22-33,50.01196,19.91723
768,22-34,50.00899,19.91723
769,22-35,50.00602,19.91723
770,23-1,50.107,19.92186
771,23-2,50.10403,19.92186
772,23-3,50.10106,19.92186
773,23-4,50.09809,19.92186
774,23-5,50.09512,19.92186
775,23-6,50.09215,19.92186
776,23-7,50.08918,19.92186
777,23-8,50.08621,19.92186
778,23-9,50.083239999999996,19.92186
779,23-10,50.08027,19.92186
780,23-11,50.0773,19.92186
781,23-12,50.074329999999996,19.92186
782,23-13,50.07136,19.92186
783,23-14,50.06839,19.92186
784,23-15,50.065419999999996,19.92186
785,23-16,50.06245,19.92186
786,23-17,50.05948,19.92186
787,23-18,50.056509999999996,19.92186
788,23-19,50.05354,19.92186
789,23-20,50.05057,19.92186
790,23-21,50.0476,19.92186
791,23-22,50.04463,19.92186
792,23-23,50.04166,19.92186
793,23-24,50.03869,19.92186
794,23-25,50.03572,19.92186
795,23-26,50.03275,19.92186
796,23-27,50.02978,19.92186
797,23-28,50.02681,19.92186
798,23-29,50.02384,19.92186
799,23-30,50.02087,19.92186
800,23-31,50.0179,19.92186
801,23-32,50.01493,19.92186
802,23-33,50.01196,19.92186
803,23-34,50.00899,19.92186
804,23-35,50.00602,19.92186
805,24-1,50.107,19.92649
806,24-2,50.10403,19.92649
807,24-3,50.10106,19.92649
808,24-4,50.09809,19.92649
809,24-5,50.09512,19.92649
810,24-6,50.09215,19.92649
811,24-7,50.08918,19.92649
812,24-8,50.08621,19.92649
813,24-9,50.083239999999996,19.92649
